# bpm=135.9992
# duration=219.0803
hat	40.0312	0.3182
kick	40.0544	0.1893
beat	40.1937	1.0000
onset	40.1937	0.2408
kick	40.2170	0.4345
hat	40.2170	0.2082
snare	40.2634	0.1938
hat	40.2634	0.1651
snare	40.4724	0.2670
hat	40.4724	0.4730
onset	40.4724	0.1321
kick	40.5420	0.1985
beat	40.6814	1.0000
hat	40.6814	0.3688
onset	40.6814	0.4589
snare	40.8903	0.1126
hat	40.8903	0.3287
onset	40.9136	0.1240
snare	41.0064	0.1442
hat	41.0064	0.1634
beat	41.0761	1.0000
kick	41.0761	0.2355
onset	41.0761	0.2424
hat	41.1225	0.3780
snare	41.1458	0.1308
hat	41.2619	0.2424
snare	41.3315	0.3536
hat	41.3315	0.1886
kick	41.3547	0.7347
onset	41.3547	0.2269
snare	41.4244	0.1304
beat	41.5173	1.0000
snare	41.5173	0.1227
onset	41.5173	0.2185
kick	41.5405	0.2712
hat	41.5637	0.3995
onset	41.6798	0.1849
snare	41.7495	0.3688
onset	41.7495	0.1239
hat	41.7727	0.1843
beat	41.9585	1.0000
kick	41.9585	0.7366
onset	41.9585	0.3448
kick	42.1210	0.2552
snare	42.1210	0.1817
onset	42.1210	0.1588
hat	42.2139	0.4182
kick	42.2371	0.2434
beat	42.3300	1.0000
onset	42.3300	0.3449
kick	42.3532	0.3058
snare	42.3532	0.3934
hat	42.4229	0.1568
hat	42.4693	0.1381
snare	42.4925	0.2516
onset	42.4925	0.2928
hat	42.5854	0.2541
kick	42.6318	0.4525
onset	42.6318	0.2767
beat	42.7944	1.0000
snare	42.7944	0.4102
onset	42.7944	0.1617
hat	42.9105	0.1163
snare	42.9337	0.6059
onset	42.9337	0.4267
snare	43.0730	0.5579
hat	43.0730	0.2432
kick	43.0962	0.3497
beat	43.1891	1.0000
onset	43.1891	0.1538
kick	43.2123	0.4606
hat	43.3052	0.1653
kick	43.3284	0.3894
onset	43.3284	0.1628
snare	43.5142	0.3960
hat	43.5142	0.1596
kick	43.5374	0.2323
hat	43.6303	0.1204
beat	43.6535	1.0000
kick	43.6535	0.3197
onset	43.6535	0.2136
snare	43.7464	0.3469
hat	43.7464	0.1383
onset	43.7464	0.1810
kick	43.8625	0.2424
hat	43.9322	0.2221
onset	44.0018	0.1474
kick	44.0483	0.2696
beat	44.0947	1.0000
onset	44.0947	0.1252
kick	44.1644	0.3908
hat	44.1644	0.2479
kick	44.2805	0.2555
onset	44.2805	0.2686
snare	44.3733	0.5090
hat	44.3733	0.4205
hat	44.4894	0.1919
kick	44.5591	0.2519
snare	44.6055	0.3498
hat	44.6055	0.4174
beat	44.6520	1.0000
kick	44.6520	0.3021
onset	44.6520	0.1616
hat	44.7449	0.1918
snare	44.8145	0.4632
hat	44.8145	0.2074
onset	44.8145	0.3646
